Date,Value
12/24/2020,102.03
12/25/2020,102.53
12/26/2020,102.94
12/27/2020,103.81
12/28/2020,103.64
12/29/2020,103.04
12/30/2020,102.79
12/31/2020,103.91
1/1/2021,104.67
1/2/2021,105.55
1/3/2021,105.57
1/4/2021,104.77
1/5/2021,104.87
1/6/2021,105.56
1/7/2021,105.61
1/8/2021,106.32
1/9/2021,107.3
1/10/2021,107.81
1/11/2021,108.11
1/12/2021,107.35
1/13/2021,107.85
1/14/2021,108.03
1/15/2021,110.58
1/16/2021,111.9
1/17/2021,111.46
1/18/2021,110.59
1/19/2021,110.53
1/20/2021,109.33
1/21/2021,109.1
1/22/2021,113.7
1/23/2021,116.68
1/24/2021,118.46
1/25/2021,124.16
1/26/2021,136.3
1/27/2021,161.78
1/28/2021,190.82
1/29/2021,211.39
1/30/2021,226.66
1/31/2021,235.57
2/1/2021,236.2
2/2/2021,233.35
2/3/2021,225.39
2/4/2021,220.575
2/5/2021,215.76
2/6/2021,206.59
2/7/2021,197.27
2/8/2021,187.18
2/9/2021,177.61
2/10/2021,170.27
2/11/2021,162.8
2/12/2021,157.23
2/13/2021,152.48
2/14/2021,148.36
2/15/2021,143.21
2/16/2021,138.69
2/17/2021,135.8
2/18/2021,136.5
2/19/2021,135.23
2/20/2021,133.44
2/21/2021,131.07
2/22/2021,128.06
2/23/2021,125.41
2/24/2021,124.15
2/25/2021,124.02
2/26/2021,124.73
2/27/2021,124.73
2/28/2021,123.53
3/1/2021,121.31
3/2/2021,120
3/3/2021,118.83
3/4/2021,117.66
3/5/2021,116.19
3/6/2021,115.85
3/7/2021,114.87
3/8/2021,112.71
