ord,date,TMIN_Albacete,TMIN_Amsterdam,TMIN_Beijng,TMIN_Chicago,TMIN_Frankfurt,TMIN_HongKong,TMIN_London,TMIN_Madrid,TMIN_NewYork,TMIN_Oviedo,TMIN_Paris,TMIN_Seoul,TMIN_Singapore,TMIN_Tokyo,TMIN_Dubai,TMAX_Albacete,TMAX_Amsterdam,TMAX_Beijng,TMAX_Chicago,TMAX_Frankfurt,TMAX_HongKong,TMAX_London,TMAX_Madrid,TMAX_NewYork,TMAX_Oviedo,TMAX_Paris,TMAX_Seoul,TMAX_Singapore,TMAX_Tokyo,TMAX_Dubai,PRCP_Albacete,PRCP_Amsterdam,PRCP_Beijng,PRCP_Chicago,PRCP_Frankfurt,PRCP_HongKong,PRCP_London,PRCP_Madrid,PRCP_NewYork,PRCP_Oviedo,PRCP_Paris,PRCP_Seoul,PRCP_Singapore,PRCP_Tokyo,PRCP_Dubai
25,25-01-89,0,-2,-6,3,0,NA,3,-4,2,3,NA,-2,23,5,NA,9,1,7,9,5,15,NA,10,8,14,7,4,NA,11,NA,0,0,0,20,0,NA,0,0,0,0,NA,NA,NA,0,NA
26,26-01-89,1,-1,-6,-3,-4,NA,2,1,2,7,-1,NA,NA,4,NA,11,6,2,5,4,13,11,11,9,16,10,3,32,8,NA,0,0,0,0,0,NA,0,0,33,0,NA,36,NA,10,NA
27,27-01-89,-1,0,-8,-3,-4,NA,4,-3,3,5,0,NA,23,4,NA,8,8,1,9,0,14,12,13,8,14,12,-5,31,15,NA,0,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,NA
28,28-01-89,0,1,-11,1,-4,8,NA,-4,0,4,0,-11,23,1,NA,9,8,2,9,-1,11,10,12,8,13,12,-1,NA,6,NA,0,7,0,28,0,NA,NA,0,0,0,NA,NA,NA,0,NA
29,29-01-89,-1,-2,-9,3,-1,9,NA,-4,4,3,1,-9,NA,1,NA,8,8,3,6,1,14,8,12,11,12,12,0,31,11,NA,0,0,0,23,0,0,NA,0,0,0,NA,NA,0,0,NA
30,30-01-89,-5,1,-7,2,1,10,0,-4,7,0,NA,-7,NA,4,NA,11,9,4,8,3,12,NA,14,11,12,10,1,32,13,NA,0,0,0,3,0,0,NA,0,107,0,NA,NA,0,0,NA
31,31-01-89,0,0,-1,4,1,10,NA,-4,3,0,NA,-4,23,4,NA,11,8,4,18,2,20,8,11,11,15,6,3,31,16,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA
32,01-02-89,2,1,-2,-2,1,11,NA,3,7,8,NA,NA,23,6,NA,11,3,4,11,2,18,NA,12,19,15,2,1,31,13,NA,0,0,0,3,0,0,0,0,0,0,NA,NA,0,15,NA
33,02-02-89,0,0,-6,-6,0,NA,NA,0,3,4,-2,-8,24,3,NA,12,3,6,-2,2,14,6,13,14,13,4,-1,31,8,NA,0,0,0,8,0,0,3,0,0,0,NA,NA,0,0,NA
34,03-02-89,3,1,-7,-16,-2,9,NA,-1,-3,4,-2,-8,24,2,NA,12,4,6,-6,0,12,11,12,3,13,4,1,NA,9,NA,0,0,0,3,0,0,0,0,51,0,NA,NA,NA,0,NA
35,04-02-89,3,2,-4,-17,-3,9,6,-3,-6,2,NA,-6,NA,2,NA,10,5,4,-14,-1,14,NA,12,-1,13,1,5,NA,9,NA,0,0,0,28,0,0,3,0,0,0,NA,NA,NA,0,NA
36,05-02-89,-2,4,-7,-17,-3,11,9,-3,-7,3,0,-4,NA,3,NA,10,10,7,-8,3,16,12,12,-3,14,9,6,32,12,NA,0,37,0,23,49,0,NA,0,0,0,20,NA,0,0,NA
37,06-02-89,-4,8,-6,-20,3,13,NA,-5,-3,2,8,-4,23,4,NA,9,12,7,-13,8,18,15,14,4,13,13,7,32,12,NA,2,0,0,0,0,0,0,0,25,0,NA,NA,0,0,NA
38,07-02-89,3,5,-1,-17,3,NA,NA,-2,-2,3,NA,-4,NA,6,NA,10,12,4,-6,10,19,12,12,4,15,13,9,32,13,NA,37,0,0,0,0,0,NA,6,0,0,NA,NA,0,0,NA
